userid,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level 
96464,22,3,2,3,3.0,3,0,3.0
97122,93,11,1,5,2.0,3,0,2.0
97280,51,7,1,1,1.0,3,0,2.0
97400,7,2,2,2,1.0,3,0,1.0
98113,92,11,1,5,2.0,3,0,4.0
98218,92,11,1,5,2.0,3,0,3.0
98496,33,4,2,4,2.0,3,0,2.0
98729,80,10,1,4,2.0,3,0,2.0
101793,69,9,1,3,3.0,3,1,3.0
103161,55,8,1,2,3.0,2,0,1.0
103556,86,11,1,5,3.0,2,0,2.0
105159,5,2,2,2,1.0,3,1,4.0
105687,19,3,2,3,2.0,3,1,2.0
105807,34,4,2,4,2.0,3,0,3.0
107793,7,2,2,2,2.0,3,0,2.0
108677,8,2,2,2,1.0,3,0,3.0
109361,31,4,2,4,1.0,3,0,4.0
110246,33,4,2,4,2.0,3,0,2.0
110355,45,5,2,5,2.0,3,0,3.0
111148,31,4,2,4,1.0,3,0,4.0
113504,20,3,2,3,2.0,3,0,4.0
114701,8,2,2,2,2.0,3,0,4.0
115726,5,2,2,2,1.0,3,1,2.0
116764,51,7,1,1,1.0,3,0,3.0
116948,17,3,2,3,1.0,3,0,3.0
117556,16,3,2,3,1.0,3,0,2.0
119921,93,11,1,5,3.0,3,0,2.0
121150,33,4,2,4,2.0,3,0,2.0
121986,53,8,1,2,1.0,2,1,2.0
122043,78,10,1,4,1.0,3,0,4.0
122946,16,3,2,3,1.0,3,0,2.0
122953,34,4,2,4,2.0,3,0,4.0
123251,7,2,2,2,3.0,3,0,2.0
123886,56,8,1,2,2.0,3,0,2.0
124861,5,2,2,2,1.0,3,1,2.0
124902,69,9,1,3,3.0,3,0,4.0
127673,85,11,1,5,2.0,2,0,4.0
128889,66,9,1,3,2.0,3,0,2.0
128962,67,9,1,3,2.0,3,0,4.0
130364,46,5,2,5,3.0,3,0,2.0
130786,33,4,2,4,2.0,3,0,2.0
131672,8,2,2,2,1.0,3,0,4.0
133401,92,11,1,5,3.0,3,0,3.0
134240,8,2,2,2,2.0,3,0,4.0
135950,56,8,1,2,2.0,3,0,2.0
136942,34,4,2,4,2.0,3,0,3.0
139072,19,3,2,3,2.0,3,0,2.0
139091,78,10,1,4,1.0,3,0,4.0
139106,34,4,2,4,2.0,3,0,3.0
139267,7,2,2,2,1.0,3,0,2.0
144739,19,3,2,3,2.0,3,0,2.0
145527,19,3,2,3,2.0,3,0,2.0
146562,33,4,2,4,2.0,3,0,2.0
147271,30,4,2,4,1.0,3,0,2.0
147512,2,1,2,1,1.0,3,0,2.0
148429,20,3,2,3,2.0,3,0,4.0
149377,89,11,1,5,1.0,3,0,3.0
150266,92,11,1,5,3.0,3,0,3.0
150345,92,11,1,5,2.0,3,0,4.0
150690,57,8,1,2,1.0,3,0,4.0
151298,19,3,2,3,2.0,3,0,2.0
152559,7,2,2,2,1.0,3,0,1.0
153735,18,3,2,3,2.0,3,0,1.0
157514,33,4,2,4,2.0,3,0,2.0
157520,41,5,2,5,1.0,3,0,2.0
157844,56,8,1,2,1.0,3,0,2.0
158229,64,9,1,3,1.0,3,0,2.0
158973,51,7,1,1,2.0,3,0,1.0
160378,81,10,1,4,2.0,3,0,3.0
160509,7,2,2,2,2.0,3,0,2.0
160834,17,3,2,3,1.0,3,0,4.0
161036,17,3,2,3,1.0,3,0,3.0
161766,8,2,2,2,2.0,3,0,3.0
161895,33,4,2,4,2.0,3,0,2.0
162425,18,3,2,3,2.0,3,0,1.0
163397,18,3,2,3,2.0,3,0,1.0
166611,37,5,2,5,2.0,2,0,2.0
167488,66,9,1,3,2.0,3,0,1.0
168293,19,3,2,3,2.0,3,1,2.0
170580,92,11,1,5,2.0,3,0,3.0
171250,30,4,2,4,1.0,3,0,2.0
171956,8,2,2,2,1.0,3,0,3.0
173097,65,9,1,3,1.0,3,0,4.0
173371,8,2,2,2,2.0,3,0,3.0
173710,5,2,2,2,1.0,3,1,2.0
173801,7,2,2,2,1.0,3,0,2.0
176932,33,4,2,4,2.0,3,0,2.0
177118,5,2,2,2,2.0,3,1,4.0
177823,81,10,1,4,2.0,3,0,3.0
180276,92,11,1,5,2.0,3,0,4.0
185496,8,2,2,2,2.0,3,0,4.0
185682,19,3,2,3,2.0,3,1,2.0
186286,66,9,1,3,2.0,3,0,2.0
186430,20,3,2,3,2.0,3,0,4.0
187747,33,4,2,4,2.0,3,0,2.0
187855,44,5,2,5,2.0,3,0,2.0
190040,7,2,2,2,2.0,3,0,2.0
190332,64,9,1,3,1.0,3,0,2.0
190652,5,2,2,2,1.0,3,1,2.0
190924,2,1,2,1,2.0,3,0,3.0
191112,2,1,2,1,1.0,3,0,4.0
191999,45,5,2,5,1.0,3,0,3.0
193773,67,9,1,3,2.0,3,0,4.0
193824,79,10,1,4,2.0,3,0,1.0
194382,45,5,2,5,3.0,3,0,3.0
195307,44,5,2,5,2.0,3,0,2.0
195502,54,8,1,2,2.0,3,1,3.0
196530,79,10,1,4,2.0,3,0,1.0
197502,19,3,2,3,2.0,3,0,2.0
199965,5,2,2,2,1.0,3,1,2.0
201969,66,9,1,3,2.0,3,0,2.0
202007,49,6,2,6,2.0,3,0,2.0
202994,16,3,2,3,1.0,3,0,2.0
206488,33,4,2,4,2.0,3,0,2.0
206995,19,3,2,3,2.0,3,0,2.0
207319,54,8,1,2,2.0,3,1,2.0
207419,7,2,2,2,2.0,3,0,1.0
207804,30,4,2,4,1.0,3,0,2.0
208116,33,4,2,4,2.0,3,0,2.0
208481,17,3,2,3,1.0,3,0,3.0
210739,5,2,2,2,2.0,3,1,4.0
216015,5,2,2,2,2.0,3,1,2.0
217142,16,3,2,3,1.0,3,0,2.0
218065,77,10,1,4,1.0,3,0,2.0
218604,88,11,1,5,1.0,3,0,2.0
218711,19,3,2,3,2.0,3,0,2.0
221526,33,4,2,4,2.0,3,0,2.0
225406,51,7,1,1,1.0,3,1,2.0
226438,17,3,2,3,1.0,3,0,3.0
227158,8,2,2,2,2.0,3,0,3.0
228508,34,4,2,4,2.0,3,0,4.0
228513,33,4,2,4,2.0,3,0,2.0
229970,33,4,2,4,2.0,3,0,2.0
232946,35,4,2,4,2.0,3,0,2.0
233216,8,2,2,2,2.0,3,0,3.0
233349,19,3,2,3,2.0,3,0,2.0
233671,44,5,2,5,2.0,3,0,2.0
236846,7,2,2,2,1.0,3,0,2.0
239216,7,2,2,2,2.0,3,0,2.0
240789,20,3,2,3,2.0,3,0,4.0
240994,33,4,2,4,2.0,3,0,2.0
242607,5,2,2,2,2.0,3,1,2.0
244905,18,3,2,3,2.0,3,0,1.0
248290,20,3,2,3,2.0,3,0,3.0
248536,15,3,2,3,1.0,3,0,1.0
248944,41,5,2,5,1.0,3,0,2.0
250050,8,2,2,2,1.0,3,0,4.0
251975,7,2,2,2,2.0,3,0,2.0
252202,16,3,2,3,1.0,3,0,2.0
252266,31,4,2,4,1.0,3,0,4.0
252774,66,9,1,3,2.0,3,0,2.0
253006,8,2,2,2,2.0,3,0,3.0
253053,34,4,2,4,2.0,3,0,4.0
257026,57,8,1,2,2.0,3,0,3.0
257523,7,2,2,2,2.0,3,0,2.0
259221,37,5,2,5,2.0,2,0,2.0
259314,66,9,1,3,2.0,3,0,2.0
259800,78,10,1,4,1.0,3,0,4.0
261747,8,2,2,2,1.0,3,0,4.0
262009,56,8,1,2,2.0,3,0,2.0
262134,30,4,2,4,1.0,3,0,1.0
263220,66,9,1,3,2.0,3,0,1.0
263227,56,8,1,2,1.0,3,0,1.0
263330,81,10,1,4,2.0,3,0,3.0
264012,45,5,2,5,2.0,3,0,3.0
264266,46,5,2,5,3.0,3,0,2.0
265327,93,11,1,5,3.0,3,0,2.0
265404,33,4,2,4,2.0,3,0,2.0
266494,7,2,2,2,2.0,3,0,2.0
266838,33,4,2,4,2.0,3,0,2.0
270656,33,4,2,4,2.0,3,0,2.0
271474,5,2,2,2,2.0,3,1,1.0
273011,45,5,2,5,2.0,3,0,3.0
273631,5,2,2,2,1.0,3,1,2.0
274839,30,4,2,4,1.0,3,0,1.0
275205,35,4,2,4,3.0,3,0,2.0
276108,30,4,2,4,1.0,3,0,2.0
276577,67,9,1,3,2.0,3,0,4.0
277480,96,12,1,6,2.0,3,0,2.0
277599,19,3,2,3,2.0,3,0,2.0
277713,19,3,2,3,2.0,3,0,2.0
278263,2,1,2,1,1.0,3,0,2.0
278752,37,5,2,5,2.0,2,0,2.0
278980,56,8,1,2,2.0,3,0,1.0
283194,80,10,1,4,2.0,3,0,2.0
283698,20,3,2,3,2.0,3,0,3.0
285244,7,2,2,2,1.0,3,0,2.0
285270,57,8,1,2,1.0,3,0,4.0
286166,55,8,1,2,1.0,1,0,2.0
287382,34,4,2,4,2.0,3,0,3.0
287763,38,5,2,5,1.0,2,0,3.0
289992,68,9,1,3,3.0,3,0,2.0
290295,8,2,2,2,2.0,3,0,4.0
291118,51,7,1,1,1.0,3,0,2.0
292034,16,3,2,3,1.0,3,0,2.0
294551,57,8,1,2,1.0,3,0,3.0
298298,66,9,1,3,2.0,3,0,2.0
299321,2,1,2,1,2.0,3,0,3.0
299989,44,5,2,5,2.0,3,0,2.0
300104,45,5,2,5,2.0,3,0,4.0
300455,42,5,2,5,1.0,3,0,3.0
302203,45,5,2,5,3.0,3,0,4.0
302606,78,10,1,4,1.0,3,0,4.0
302986,35,4,2,4,3.0,3,0,2.0
303140,2,1,2,1,1.0,3,0,3.0
303399,61,9,1,3,1.0,2,0,4.0
306593,6,2,2,2,2.0,2,0,3.0
310888,5,2,2,2,1.0,3,1,3.0
311280,19,3,2,3,2.0,3,0,2.0
311676,5,2,2,2,2.0,3,1,2.0
314389,92,11,1,5,2.0,3,0,3.0
314991,44,5,2,5,2.0,3,0,2.0
316283,8,2,2,2,2.0,3,0,3.0
319203,51,7,1,1,2.0,3,0,2.0
319842,17,3,2,3,1.0,3,0,3.0
321301,56,8,1,2,2.0,3,0,2.0
321897,26,4,2,4,1.0,2,0,2.0
323378,18,3,2,3,2.0,3,0,1.0
323403,19,3,2,3,2.0,3,0,2.0
324005,42,5,2,5,1.0,3,0,4.0
325547,66,9,1,3,2.0,3,0,2.0
326615,67,9,1,3,2.0,3,0,3.0
327056,6,2,2,2,2.0,2,0,2.0
327297,7,2,2,2,2.0,3,0,1.0
329622,15,3,2,3,1.0,3,0,1.0
330642,30,4,2,4,1.0,3,0,2.0
330965,7,2,2,2,2.0,3,0,2.0
331031,19,3,2,3,2.0,3,0,2.0
333698,56,8,1,2,2.0,3,0,2.0
334105,67,9,1,3,2.0,3,0,3.0
334442,80,10,1,4,2.0,3,0,2.0
336879,31,4,2,4,1.0,3,0,4.0
337009,19,3,2,3,2.0,3,0,2.0
337058,5,2,2,2,2.0,3,1,2.0
338301,41,5,2,5,1.0,3,0,2.0
340332,78,10,1,4,1.0,3,0,3.0
341262,7,2,2,2,2.0,3,0,1.0
341481,19,3,2,3,2.0,3,1,2.0
341955,8,2,2,2,1.0,3,0,3.0
343469,59,9,1,3,1.0,1,0,4.0
343519,54,8,1,2,2.0,3,1,2.0
344012,68,9,1,3,3.0,3,0,2.0
345289,57,8,1,2,2.0,3,0,4.0
346337,34,4,2,4,2.0,3,0,4.0
348143,38,5,2,5,2.0,2,0,4.0
350082,78,10,1,4,1.0,3,0,3.0
350480,8,2,2,2,1.0,3,0,3.0
353980,41,5,2,5,1.0,3,0,2.0
353981,46,5,2,5,3.0,3,0,2.0
354131,7,2,2,2,2.0,3,0,2.0
357784,42,5,2,5,1.0,3,0,4.0
358384,5,2,2,2,1.0,3,1,3.0
358854,21,3,2,3,3.0,3,0,2.0
358873,56,8,1,2,1.0,3,0,2.0
359357,7,2,2,2,1.0,3,0,2.0
361172,6,2,2,2,1.0,2,0,2.0
362265,45,5,2,5,3.0,3,0,3.0
362323,44,5,2,5,2.0,3,0,2.0
362721,21,3,2,3,3.0,3,0,2.0
363050,5,2,2,2,1.0,3,1,4.0
363480,17,3,2,3,1.0,3,0,4.0
363987,55,8,1,2,1.0,2,0,2.0
364060,19,3,2,3,2.0,3,0,2.0
368486,30,4,2,4,1.0,3,0,2.0
368852,57,8,1,2,1.0,3,0,3.0
373881,20,3,2,3,2.0,3,0,3.0
373926,96,12,1,6,1.0,3,0,2.0
376251,2,1,2,1,1.0,3,0,4.0
376654,30,4,2,4,1.0,3,0,1.0
377881,34,4,2,4,2.0,3,0,3.0
379268,20,3,2,3,2.0,3,0,4.0
382450,33,4,2,4,2.0,3,0,2.0
382771,2,1,2,1,1.0,3,0,2.0
385252,43,5,2,5,2.0,3,0,1.0
385540,17,3,2,3,1.0,3,0,3.0
387287,89,11,1,5,1.0,3,0,3.0
388047,31,4,2,4,1.0,3,0,4.0
388310,41,5,2,5,1.0,3,0,2.0
388786,78,10,1,4,1.0,3,0,4.0
389120,60,9,1,3,2.0,2,0,1.0
391781,44,5,2,5,2.0,3,0,2.0
392226,5,2,2,2,2.0,3,1,2.0
392400,20,3,2,3,2.0,3,0,4.0
392512,34,4,2,4,2.0,3,0,4.0
393101,20,3,2,3,2.0,3,0,3.0
393416,66,9,1,3,2.0,3,0,2.0
399972,80,10,1,4,2.0,3,0,2.0
401271,20,3,2,3,2.0,3,0,3.0
403101,41,5,2,5,1.0,3,0,1.0
403628,33,4,2,4,2.0,3,0,2.0
404528,33,4,2,4,2.0,3,0,2.0
405908,16,3,2,3,1.0,3,0,2.0
407859,8,2,2,2,2.0,3,0,3.0
408168,16,3,2,3,1.0,3,0,2.0
408614,7,2,2,2,1.0,3,0,1.0
408793,93,11,1,5,3.0,3,0,1.0
409004,30,4,2,4,1.0,3,0,2.0
409482,19,3,2,3,2.0,3,0,2.0
409595,32,4,2,4,2.0,3,0,1.0
411466,51,7,1,1,1.0,3,0,2.0
411754,57,8,1,2,1.0,3,0,4.0
413016,54,8,1,2,1.0,3,1,2.0
413412,19,3,2,3,2.0,3,0,2.0
413728,34,4,2,4,2.0,3,0,4.0
415163,33,4,2,4,2.0,3,0,2.0
416338,31,4,2,4,1.0,3,0,4.0
417835,33,4,2,4,2.0,3,0,2.0
418181,66,9,1,3,2.0,3,0,2.0
420401,16,3,2,3,1.0,3,0,2.0
421246,45,5,2,5,2.0,3,0,3.0
421743,67,9,1,3,2.0,3,0,3.0
422134,51,7,1,1,3.0,3,0,1.0
422485,45,5,2,5,2.0,3,0,3.0
422802,18,3,2,3,2.0,3,0,1.0
423256,66,9,1,3,2.0,3,1,1.0
423302,85,11,1,5,1.0,2,0,4.0
423863,34,4,2,4,2.0,3,0,4.0
424685,34,4,2,4,2.0,3,0,4.0
424734,20,3,2,3,2.0,3,0,3.0
425179,91,11,1,5,2.0,3,0,2.0
425770,2,1,2,1,1.0,3,0,3.0
426280,19,3,2,3,2.0,3,0,2.0
427609,49,6,2,6,2.0,3,0,2.0
428594,19,3,2,3,2.0,3,0,2.0
429024,2,1,2,1,1.0,3,0,4.0
431314,89,11,1,5,1.0,3,0,3.0
432368,2,1,2,1,1.0,3,0,4.0
432639,8,2,2,2,2.0,3,0,4.0
432739,44,5,2,5,2.0,3,0,2.0
433193,8,2,2,2,2.0,3,0,3.0
434164,6,2,2,2,2.0,2,0,3.0
434256,21,3,2,3,3.0,3,0,1.0
434478,20,3,2,3,2.0,3,0,4.0
435296,34,4,2,4,2.0,3,0,3.0
436834,67,9,1,3,2.0,3,0,4.0
439622,80,10,1,4,2.0,3,0,2.0
440513,19,3,2,3,2.0,3,0,2.0
440568,20,3,2,3,2.0,3,0,4.0
441231,37,5,2,5,2.0,2,0,2.0
442720,12,3,2,3,1.0,2,0,3.0
442800,2,1,2,1,1.0,3,0,1.0
443548,32,4,2,4,2.0,3,0,1.0
444268,43,5,2,5,2.0,3,0,1.0
444889,19,3,2,3,2.0,3,0,2.0
446043,38,5,2,5,1.0,2,0,4.0
446365,16,3,2,3,1.0,3,0,2.0
446372,42,5,2,5,1.0,3,0,3.0
447154,37,5,2,5,2.0,2,0,2.0
447355,64,9,1,3,1.0,3,0,2.0
448608,33,4,2,4,2.0,3,0,2.0
449394,8,2,2,2,2.0,3,0,3.0
449881,79,10,1,4,2.0,3,0,1.0
452685,15,3,2,3,1.0,3,0,1.0
452950,16,3,2,3,1.0,3,0,2.0
453763,34,4,2,4,2.0,3,0,3.0
457378,44,5,2,5,2.0,3,0,2.0
458383,42,5,2,5,1.0,3,0,3.0
459238,64,9,1,3,1.0,3,0,2.0
461613,67,9,1,3,2.0,3,0,3.0
461795,27,4,2,4,2.0,2,0,3.0
462071,17,3,2,3,1.0,3,0,4.0
463015,51,7,1,1,2.0,3,0,3.0
463161,65,9,1,3,1.0,3,0,4.0
465254,81,10,1,4,3.0,3,0,4.0
466649,20,3,2,3,2.0,3,0,4.0
467891,2,1,2,1,1.0,3,0,4.0
468100,45,5,2,5,2.0,3,0,4.0
468341,8,2,2,2,1.0,3,0,4.0
473082,77,10,1,4,1.0,3,0,2.0
474186,20,3,2,3,2.0,3,0,4.0
474285,8,2,2,2,2.0,3,0,4.0
474593,92,11,1,5,3.0,3,0,4.0
474782,67,9,1,3,2.0,3,0,3.0
474905,42,5,2,5,1.0,3,0,3.0
475047,7,2,2,2,1.0,3,0,2.0
476338,22,3,2,3,2.0,3,0,3.0
477848,46,5,2,5,3.0,3,0,1.0
478059,33,4,2,4,2.0,3,0,2.0
478721,33,4,2,4,2.0,3,0,2.0
479035,45,5,2,5,2.0,3,0,3.0
479371,45,5,2,5,2.0,3,0,4.0
479374,81,10,1,4,2.0,3,0,3.0
479435,81,10,1,4,2.0,3,0,3.0
479447,8,2,2,2,1.0,3,0,3.0
480052,34,4,2,4,1.0,3,0,4.0
480378,0,0,2,0,2.0,3,0,3.0
480475,7,2,2,2,2.0,3,0,2.0
480679,2,1,2,1,2.0,3,0,4.0
481987,60,9,1,3,1.0,2,0,2.0
482096,2,1,2,1,2.0,3,0,1.0
483095,8,2,2,2,2.0,3,0,4.0
483771,44,5,2,5,2.0,3,0,2.0
484683,16,3,2,3,1.0,3,0,2.0
484775,20,3,2,3,2.0,3,0,3.0
485475,8,2,2,2,2.0,3,0,3.0
488698,56,8,1,2,2.0,3,0,2.0
489328,19,3,2,3,2.0,3,0,2.0
489466,8,2,2,2,2.0,3,0,4.0
491933,41,5,2,5,1.0,3,0,2.0
492698,19,3,2,3,2.0,3,0,2.0
493465,20,3,2,3,2.0,3,0,4.0
493554,7,2,2,2,2.0,3,0,2.0
496289,31,4,2,4,1.0,3,0,4.0
496553,20,3,2,3,2.0,3,0,3.0
497033,7,2,2,2,1.0,3,0,2.0
497380,56,8,1,2,1.0,3,0,1.0
498666,19,3,2,3,2.0,3,0,2.0
499047,19,3,2,3,2.0,3,0,2.0
499251,21,3,2,3,2.0,3,0,2.0
499435,81,10,1,4,2.0,3,0,3.0
502401,2,1,2,1,1.0,3,0,4.0
502671,19,3,2,3,2.0,3,0,2.0
502932,2,1,2,1,1.0,3,0,2.0
504026,19,3,2,3,2.0,3,1,2.0
504512,64,9,1,3,1.0,3,0,2.0
505569,32,4,2,4,1.0,3,0,1.0
508754,20,3,2,3,2.0,3,0,3.0
508995,45,5,2,5,2.0,3,0,3.0
509405,81,10,1,4,2.0,3,0,3.0
510117,19,3,2,3,2.0,3,0,2.0
510639,5,2,2,2,1.0,3,1,3.0
510738,34,4,2,4,2.0,3,0,4.0
510928,8,2,2,2,1.0,3,0,3.0
513871,20,3,2,3,2.0,3,0,3.0
516013,34,4,2,4,2.0,3,0,3.0
517070,66,9,1,3,2.0,3,0,2.0
520733,20,3,2,3,2.0,3,0,3.0
523414,45,5,2,5,2.0,3,0,3.0
523623,88,11,1,5,1.0,3,0,2.0
525237,8,2,2,2,1.0,3,0,3.0
525482,45,5,2,5,2.0,3,0,3.0
528439,80,10,1,4,2.0,3,0,2.0
528481,19,3,2,3,2.0,3,0,2.0
532598,19,3,2,3,2.0,3,0,2.0
533561,45,5,2,5,2.0,3,0,3.0
536924,66,9,1,3,2.0,3,0,1.0
537380,5,2,2,2,2.0,3,1,3.0
538021,31,4,2,4,1.0,3,0,4.0
538711,85,11,1,5,2.0,2,0,4.0
539619,67,9,1,3,2.0,3,0,4.0
540650,81,10,1,4,2.0,3,0,4.0
543366,45,5,2,5,2.0,3,0,3.0
544928,32,4,2,4,2.0,3,0,1.0
546165,5,2,2,2,1.0,3,1,3.0
546782,20,3,2,3,2.0,3,0,4.0
547053,45,5,2,5,3.0,3,0,3.0
549171,35,4,2,4,3.0,3,0,2.0
551296,66,9,1,3,2.0,3,0,2.0
551351,18,3,2,3,2.0,3,0,1.0
551382,17,3,2,3,1.0,3,0,4.0
552057,7,2,2,2,2.0,3,0,1.0
552315,33,4,2,4,2.0,3,0,2.0
553138,57,8,1,2,2.0,3,0,4.0
556124,16,3,2,3,1.0,3,0,2.0
557285,16,3,2,3,1.0,3,0,2.0
557478,20,3,2,3,2.0,3,0,3.0
557636,8,2,2,2,1.0,3,0,4.0
558590,44,5,2,5,2.0,3,0,2.0
560970,17,3,2,3,1.0,3,0,4.0
561306,49,6,2,6,2.0,3,0,3.0
561857,42,5,2,5,1.0,3,0,4.0
561902,12,3,2,3,1.0,2,0,3.0
561985,5,2,2,2,2.0,3,1,2.0
564370,88,11,1,5,1.0,3,0,1.0
564450,33,4,2,4,2.0,3,0,2.0
564568,56,8,1,2,2.0,3,0,2.0
565817,5,2,2,2,2.0,3,1,4.0
568512,7,2,2,2,2.0,3,0,2.0
568985,12,3,2,3,1.0,2,0,4.0
569028,60,9,1,3,1.0,2,0,2.0
569748,41,5,2,5,1.0,3,0,2.0
571909,67,9,1,3,2.0,3,1,3.0
571933,27,4,2,4,2.0,2,0,3.0
573877,33,4,2,4,2.0,3,0,2.0
574814,57,8,1,2,2.0,3,0,4.0
577381,16,3,2,3,1.0,3,0,2.0
577465,2,1,2,1,1.0,3,0,3.0
581283,91,11,1,5,2.0,3,0,2.0
581367,66,9,1,3,2.0,3,0,1.0
581461,8,2,2,2,2.0,3,0,4.0
581621,46,5,2,5,3.0,3,0,2.0
583657,20,3,2,3,2.0,3,0,4.0
584102,61,9,1,3,2.0,2,0,3.0
584221,69,9,1,3,3.0,3,0,3.0
584448,17,3,2,3,1.0,3,0,3.0
584921,34,4,2,4,2.0,3,0,3.0
585951,57,8,1,2,2.0,3,0,4.0
587526,7,2,2,2,1.0,3,0,1.0
588336,44,5,2,5,2.0,3,0,2.0
589096,16,3,2,3,1.0,3,0,2.0
589217,34,4,2,4,2.0,3,0,3.0
589528,20,3,2,3,2.0,3,0,3.0
590717,7,2,2,2,1.0,3,0,2.0
590753,7,2,2,2,1.0,3,0,1.0
591009,33,4,2,4,2.0,3,0,2.0
591095,41,5,2,5,1.0,3,0,2.0
591935,33,4,2,4,2.0,3,0,2.0
592355,31,4,2,4,1.0,3,0,3.0
594230,44,5,2,5,2.0,3,0,2.0
597117,56,8,1,2,2.0,3,0,2.0
597264,51,7,1,1,2.0,3,0,3.0
598798,61,9,1,3,2.0,2,0,4.0
600140,78,10,1,4,1.0,3,0,4.0
600213,18,3,2,3,2.0,3,0,1.0
600240,19,3,2,3,2.0,3,0,2.0
604771,20,3,2,3,2.0,3,0,3.0
605110,77,10,1,4,1.0,3,0,2.0
605112,82,10,1,4,3.0,3,0,2.0
605310,2,1,2,1,1.0,3,0,4.0
605500,17,3,2,3,1.0,3,0,4.0
606079,74,10,1,4,2.0,2,0,3.0
606536,44,5,2,5,2.0,3,0,2.0
607240,85,11,1,5,1.0,2,0,4.0
608285,88,11,1,5,1.0,3,0,1.0
609143,66,9,1,3,2.0,3,0,2.0
609841,45,5,2,5,2.0,3,0,4.0
610836,33,4,2,4,2.0,3,0,2.0
611181,60,9,1,3,1.0,2,0,2.0
612065,21,3,2,3,2.0,3,0,2.0
612771,20,3,2,3,2.0,3,0,4.0
616146,20,3,2,3,2.0,3,0,3.0
